model,num_documents,gold_index,question,gold_answers,em_first_line,em_full,model_answer_failed,model_answer
gpt-4.1,30,0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,False,"The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen of Germany, in recognition of the extraordinary services he rendered by the discovery of the remarkable rays (or x-rays) [1][4][6]."
gpt-4.1,30,0,when is the next deadpool movie being released,"May 18, 2018",0.0,0.0,False,"Based on the provided search results, the next Deadpool movie, ""Deadpool 3,"" is currently in development, but an official release date is not mentioned in the documents. Document [1] states that ""Deadpool 3"" is in development, and Document [28] also confirms that a sequel, ""Deadpool 3,"" is in development. However, no specific release date is provided in the search results.  **Summary:**   ""Deadpool 3"" is in development,"
gpt-4.1,30,0,the south west wind blows across nigeria between,till September,0.0,0.0,False,"Based on the provided search results, the south west wind in Nigeria refers to the Tropical Maritime (MT) airmass, which originates from the south Atlantic Ocean. This wind is responsible for Nigeria's rainy season.  - The south west wind (Tropical Maritime airmass) begins to invade the southern part of Nigeria from **February** ([2](#2)), but it takes longer to reach the entire country, arriving in the northern part by **June**. - The wind continues to blow"
gpt-4.1,30,0,what does hp mean in war and order,hit points or health points,0.0,0.0,False,"Based on the provided search results, ""HP"" in the context of games like ""War and Order"" refers to ""health points"" or ""hit points."" This is a common attribute in role-playing and strategy games that indicates the state or vitality of a unit, character, or object during combat.  - **Definition:** Health or vitality is an attribute assigned to entities, such as the player character, enemies, and objects within a role-playing or video game, that indicates its state in combat. Health"
gpt-4.1,30,0,who wrote the first declaration of human rights,Cyrus,0.0,1.0,False,"The question of who wrote the ""first declaration of human rights"" depends on how one defines such a declaration and the historical context. Based on the provided search results, several key documents and figures are relevant:  1. **Cyrus Cylinder (6th century BCE)**: Sometimes referred to as an early declaration of human rights, the Cyrus Cylinder was issued by Cyrus the Great of Persia. However, historians debate whether it truly qualifies as a human rights declaration, as it primarily addresses the restoration of temples and"
gpt-4.1,30,0,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,0.0,1.0,False,"Based on the provided search results, the ownership structure of Reading Football Club is as follows:  - **75% owned by Renhe Sports Management Ltd**, which is 100% owned by Xiu Li Dai and Yongge Dai. - **25% owned by Narin Niruttinanon**.  (Source: Document [1])"
gpt-4.1,30,0,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,False,"The last time the Philadelphia Eagles won the Super Bowl was Super Bowl LII. According to Document [1], the Eagles are Super Bowl champions, having won Super Bowl LII, which was their fourth NFL title."
gpt-4.1,30,0,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,False,"**Dragon Ball Z** consists of **291 episodes** in its original Japanese broadcast. The anime adaptation premiered in Japan on Fuji Television on April 26, 1989, and ran until January 31, 1996, lasting 291 episodes in Japan. In the United States, the original broadcast initially included 276 episodes, but all 291 episodes were later aired when previously cut content was restored ([Document 1](#))."
gpt-4.1,30,0,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,False,"The garden city of New Earswick was designed by the planner Raymond Unwin and the architect Barry Parker. They were commissioned by Joseph Rowntree to produce an overall plan for the new 'garden' village and the detailed designs for its first houses ([Document 1](#), [Document 2](#))."
gpt-4.1,30,0,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,False,"The first step in the evolution of the eye was the development of simple photoreceptor proteins that could sense light. These early light-sensitive structures, known as ""eyespots,"" are found even in unicellular organisms and could only distinguish between light and dark, not shapes or the direction of light. Eyespots were sufficient for basic functions like photoperiodism and synchronization of circadian rhythms, but they were not capable of vision as we know it ([1](#), [4](#),"
gpt-4.1,30,0,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,False,"The TV show *The Curse of Oak Island* is filmed on Oak Island, which is the site of the speculated treasure and historical artifacts that the series investigates. The show follows the Lagina brothers as they explore various areas of interest on the island, such as the ""Money Pit,"" Borehole 10-x, Smith's Cove, ""Nolan's Cross,"" the ""Hatch,"" the ""Watchtower,"" and the ""Swamp"" [1]."
gpt-4.1,30,0,where is gall bladder situated in human body,beneath the liver,1.0,1.0,False,"The gallbladder in humans is a small, pear-shaped hollow organ situated beneath the liver. Specifically, it lies in a shallow depression below the right lobe of the liver, in the upper right quadrant of the abdomen ([1](#), [4](#), [25](#)). The gallbladder is located just under the liver and overlies the gallbladder fossa, which is found beneath the junction of hepatic segments IVB and V ([2](#), [23]("
gpt-4.1,30,0,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,False,"According to the provided search results, the position of Director of the United States Mint is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl ([Document 1](#1))."
gpt-4.1,30,0,what is the main mineral in lithium batteries,Lithium|lithium,1.0,1.0,False,"The main mineral used in lithium batteries is **lithium**, specifically in the form of lithium compounds. According to Document [1], lithium became an important component of battery electrolytes and electrodes due to its high electrode potential and low atomic mass, which gives lithium batteries a high charge- and power-to-weight ratio. Lithium-ion batteries use lithium or its compounds as a key material, particularly as the anode in disposable (primary) lithium batteries and in various forms in rechargeable lithium-ion batteries.  **Summary"
