model,num_documents,gold_index,question,gold_answers,em_first_line,em_full,model_answer_failed,model_answer
deepseek:deepseek-chat,50,0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,False,"Based solely on the provided search results, the first Nobel Prize in Physics was awarded to **Wilhelm Conrad Röntgen** in 1901."
deepseek:deepseek-chat,50,0,when is the next deadpool movie being released,"May 18, 2018",0.0,0.0,False,"Based solely on the provided search results, the next Deadpool movie, *Deadpool 3*, is in development, but no specific release date is given. Document [1] states that ""A sequel, Deadpool 3, is in development,"" and Document [28] confirms that ""A sequel, 'Deadpool 3', is in development."" No other document provides a release date for this film."
deepseek:deepseek-chat,50,0,the south west wind blows across nigeria between,till September,0.0,0.0,False,"Based solely on the provided search results, the south west wind (Tropical Maritime airmass) blows across Nigeria between **February in the southern part of Nigeria** and **June in the northern part of Nigeria** [Document 2]."
deepseek:deepseek-chat,50,0,what does hp mean in war and order,hit points or health points,1.0,1.0,False,"Based solely on the provided search results, ""HP"" in the context of war and order most commonly refers to **hit points or health points**, which is a measure of a character's or unit's health in a game. When HP reaches zero, the character or unit is typically defeated or dies.  This definition is supported by multiple documents: *   Document [1] states: ""Health is usually measured in hit points or health points, shortened to HP. When the HP of a player character reaches"
deepseek:deepseek-chat,50,0,who wrote the first declaration of human rights,Cyrus,0.0,0.0,False,"Based solely on the provided search results, there is no single document that is definitively identified as the ""first declaration of human rights."" The results mention several early documents, but they do not agree on which one was first.  Document [12] states that the **American Declaration of the Rights and Duties of Man** (also known as the Bogota Declaration) was ""the world's first international human rights instrument of a general nature, predating the Universal Declaration of Human Rights by less than a year"
deepseek:deepseek-chat,50,0,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,False,"Based solely on the provided search results, the current ownership of Reading Football Club is held by Renhe Sports Management Ltd, which is 100% owned by Xiu Li Dai and Yongge Dai, who own 75% of the club. The remaining 25% is owned by Narin Niruttinanon [1]."
deepseek:deepseek-chat,50,0,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,False,"Based solely on the provided search results, the Philadelphia Eagles won the Super Bowl (Super Bowl LII) in 2018. This is supported by Document [49], which states the team's victory in Super Bowl LII ended a 57-season championship drought, and Document [1], which identifies them as Super Bowl champions for winning Super Bowl LII."
deepseek:deepseek-chat,50,0,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,False,"Based solely on the provided search results, the original *Dragon Ball Z* anime adaptation ran for **291 episodes** in Japan and **276 episodes** in the United States originally, although all 291 episodes were later broadcast when content from the first 67 episodes was restored [1]."
deepseek:deepseek-chat,50,0,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,False,"Based solely on the provided search results, the garden city of New Earswick was designed by the planner Raymond Unwin and the architect Barry Parker.  Document [1] states: ""The planner Raymond Unwin and the architect Barry Parker were commissioned to produce an overall plan for a new 'garden' village and the detailed designs for its first houses."" Document [2] also confirms: ""In 1902 Parker and Unwin were asked to design a model village at New Earswick near York for"
deepseek:deepseek-chat,50,0,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,0.0,0.0,False,"Based solely on the provided search results, the first step in the evolution of the eye was the development of simple patches of photoreceptor cells that could detect the presence or absence of light, but not its direction. This is supported by Document [23], which states: ""One likely chain of development is that the eyes originated as simple patches of photoreceptor cells that could detect the presence or absence of light, but not its direction."""
deepseek:deepseek-chat,50,0,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,False,"Based solely on the provided search results, the TV show *The Curse of Oak Island* is filmed on Oak Island. Document [1] states that the series follows the Lagina brothers ""through their efforts to find the speculated treasure or historical artifacts believed to be on Oak Island"" and discusses ""the history of the island"" and ""prior attempts to investigate the site."""
deepseek:deepseek-chat,50,0,where is gall bladder situated in human body,beneath the liver,1.0,1.0,False,"Based solely on the provided search results, the gallbladder is situated in the upper right quadrant of the abdomen, beneath the liver. Specifically, it lies in a shallow depression below the right lobe of the liver [Document 4], and is located to the right of the stomach [Document 14]. It sits below the diaphragm [Document 14] and above the duodenum [Document 9]."
deepseek:deepseek-chat,50,0,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,False,"Based solely on the provided search results, the position of Director of the United States Mint is currently vacant. Document [1] states, ""The Director of the United States Mint is the head of the United States Mint. The position is currently vacant. Since January 20, 2017, the senior career official at the Mint has been Acting Principal Deputy Director David Motl."""
deepseek:deepseek-chat,50,0,right to property according to the constitution of india is a,constitutional right,0.0,1.0,False,"Based solely on the provided search results, the right to property according to the Constitution of India is **no longer a fundamental right, but it is still a constitutional/legal right**.  Multiple documents confirm this. Document [1] states that ""the right to property is no longer a fundamental right, though it is still a constitutional right."" Document [3] explains that after the 44th Amendment, ""the right to property‟ is no longer a fundamental right but rather a constitutional/legal right/as"
deepseek:deepseek-chat,50,0,who is the president of usa right now,Donald Trump,1.0,1.0,False,"Based solely on the provided search results, Donald Trump is the 45th and current president of the United States, inaugurated on January 20, 2017."
deepseek:deepseek-chat,50,0,what part of the brain is in the middle cranial fossa,pituitary gland|the temporal lobes|the pituitary gland|temporal lobes,1.0,1.0,False,"Based solely on the provided search results, the middle cranial fossa houses the **temporal lobes** of the brain and the **pituitary gland** (hypophysis).  Document [1] states: ""It houses the temporal lobes of the brain and the pituitary gland."" Document [27] also confirms that the sella turcica, located in the middle cranial fossa, ""lodges the hypophysis"" (the pituitary gland)."
deepseek:deepseek-chat,50,0,where do the greasers live in the outsiders,"Tulsa, Oklahoma",1.0,1.0,False,"Based solely on the provided search results, the greasers in *The Outsiders* live in Tulsa, Oklahoma. Document [1] states that ""The story in the book takes place in Tulsa, Oklahoma, in 1965."""
deepseek:deepseek-chat,50,0,who died in the plane crash greys anatomy,Dr. Lexie Grey|Lexie,1.0,1.0,False,"Based solely on the provided search results, the characters who died in the plane crash on *Grey's Anatomy* are Dr. Lexie Grey (Chyler Leigh) [1] and Dr. Mark Sloan (Eric Dane) [8]."
deepseek:deepseek-chat,50,0,where do they grow hops in the us,"Yakima (Washington)|Idaho|Washington|western Canyon County, Idaho|Willamette (Oregon)|Oregon",0.0,1.0,False,"Based solely on the provided search results, hops in the US are grown in the following locations:  *   **Yakima (Washington) and Willamette (Oregon) valleys** [1] *   **Western Canyon County, Idaho** (including the communities of Parma, Wilder, Greenleaf, and Notus) [1] *   **The Pacific Northwest** (where the majority of American hop varietals are grown) [14] *   **New Mexico** ("
deepseek:deepseek-chat,50,0,what's the dog's name on tom and jerry,Spike,1.0,1.0,False,"Based solely on the provided search results, the dog's name in *Tom and Jerry* is **Spike**. Document [1] states: ""Spike, occasionally referred to as Butch or Killer, is a stern but occasionally dumb American bulldog..."""
deepseek:deepseek-chat,50,0,in which regions are most of africa petroleum and natural gas found,Nigeria,0.0,0.0,False,"Based solely on the provided search results, most of Africa's petroleum and natural gas are found in **North Africa** and **sub-Saharan Africa**.  Document [5] states that about 75% of the world's undiscovered conventional natural gas resources are in four places, including ""sub-Saharan Africa"" and ""the Middle East and North Africa."" Document [10] specifies that ""North Africa is dominant in oil and in gas,"" noting that Libya obtains approximately 50% of the oil reserves available in"
deepseek:deepseek-chat,50,0,in which sea pearl is found in india,the Indian Ocean,0.0,0.0,False,"Based solely on the provided search results, pearls in India are found in the **Gulf of Mannar**.  Document [1] states that seawater pearls were retrieved by divers in the ""Gulf of Mannar (between Sri Lanka and India)."" Document [14] and [16] also mention the ""Gulf of Mannar"" as the source of pearls from the Pandyan kingdom, which was located in southern India."
