model,num_documents,gold_index,question,gold_answers,em_first_line,em_full,model_answer_failed,model_answer
gemini-2.5-flash,200,0,who got the first nobel prize in physics,Wilhelm Conrad Röntgen,1.0,1.0,False,"The first Nobel Prize in Physics was awarded in 1901 to Wilhelm Conrad Röntgen of Germany. He received the prize in recognition of his discovery of ""the remarkable rays (or x-rays)."""
gemini-2.5-flash,200,0,when is the next deadpool movie being released,"May 18, 2018",1.0,1.0,False,"The next Deadpool movie, *Deadpool 2*, is scheduled to be released in the United States on May 18, 2018. A sequel, *Deadpool 3*, is also in development."
gemini-2.5-flash,200,0,the south west wind blows across nigeria between,till September,0.0,0.0,False,"The south west wind blows across Nigeria between February and October. It invades the southern part of Nigeria in February and reaches the northern part by June. The monsoon winds from the Atlantic, which are part of the south west wind, create heavy tropical rains between April and July, with rain resuming in September and October. The rainy season in the northern part of Nigeria lasts from June to September."
gemini-2.5-flash,200,0,what does hp mean in war and order,hit points or health points,0.0,1.0,False,"Based on the provided search results, ""HP"" can have several meanings, but none of the documents directly define ""HP"" in the context of a game specifically titled ""War and Order.""  However, in the context of video games and combat, ""HP"" most commonly refers to **Hit Points** or **Health Points**. This indicates an entity's state in combat and is reduced when damage is taken. When HP reaches zero, the character may die, become incapacitated, or be defeated ["
gemini-2.5-flash,200,0,who wrote the first declaration of human rights,Cyrus,0.0,1.0,False,"The provided documents do not definitively state who wrote the *very first* declaration of human rights. However, they do offer information about several early and influential documents that are considered declarations of rights or have been referred to as such:  *   **Cyrus Cylinder (c. 6th century BCE):** Mohammad Reza Pahlavi, the last Shah of Iran, referred to the Cyrus Cylinder as the ""first declaration of universal human rights,"" though some historians reject this view as anachronistic."
gemini-2.5-flash,200,0,who is the owner of reading football club,Xiu Li Dai|Dai Xiuli|Dai Yongge|Yongge Dai,1.0,1.0,False,"Reading Football Club is 75% owned by Renhe Sports Management Ltd, which is 100% owned by Xiu Li Dai and Yongge Dai. The remaining 25% is owned by Narin Niruttinanon. In May 2017, Renhe bought 75% of the shares in Reading.  Previously, in January 2012, it was announced that John Madejski planned to sell 51% of the club to """
gemini-2.5-flash,200,0,when is the last time the philadelphia won the superbowl,"Super Bowl LII,|2017",1.0,1.0,False,"The Philadelphia Eagles last won the Super Bowl in 2018, when they won Super Bowl LII."
gemini-2.5-flash,200,0,how many episodes are there in dragon ball z,291 episodes|291,1.0,1.0,False,"The original Japanese broadcast of *Dragon Ball Z* ran for 291 episodes [1]. In the United States, it originally aired with 276 episodes, though all 291 episodes were later broadcast after content from the first 67 episodes was restored [1]."
gemini-2.5-flash,200,0,who designed the garden city of new earswick,planner Raymond Unwin|architect Barry Parker|Raymond Unwin,1.0,1.0,False,"Raymond Unwin and Barry Parker were commissioned to produce an overall plan for the new ""garden"" village of New Earswick and the detailed designs for its first houses. They were asked to design the model village in 1902 for Joseph and Benjamin Seebohm Rowntree."
gemini-2.5-flash,200,0,what is the first step in the evolution of the eye,photoreceptor proteins that sense light|eyespots,1.0,1.0,False,"The first step in the evolution of the eye involved simple patches of photoreceptor cells that could detect the presence or absence of light, but not its direction [23]. These earliest predecessors of the eye were photoreceptor proteins, found even in unicellular organisms, called ""eyespots"" [1]. Eyespots can only sense ambient brightness, distinguishing light from dark, which is sufficient for photoperiodism and synchronizing circadian rhythms [1]. However, they are insufficient for vision as they cannot"
gemini-2.5-flash,200,0,where is the tv show the curse of oak island filmed,Oak Island,1.0,1.0,False,"The TV show *The Curse of Oak Island* is filmed on Oak Island. Areas of interest on the island include the ""Money Pit"", Borehole 10-x, Smith's Cove, ""Nolan's Cross"", the ""Hatch"", the ""Watchtower"" and the ""Swamp""."
gemini-2.5-flash,200,0,where is gall bladder situated in human body,beneath the liver,1.0,1.0,False,"In the human body, the gallbladder is situated in the upper right quadrant of the abdomen, beneath the liver [1, 4, 25, 33, 154, 160]. It lies in a shallow depression on the inferior surface of the liver, specifically beneath the junction of hepatic segments IVB and V [2, 4].  More precisely, the fundus and body of the gallbladder rest against the gallbladder fossa [2]. The neck of the"
gemini-2.5-flash,200,0,who is the current director of the us mint,David J. Ryder|David Motl,1.0,1.0,False,"The position of Director of the United States Mint is currently vacant. Since January 20, 2017, David Motl has been serving as the Acting Principal Deputy Director, making him the senior career official at the Mint."
gemini-2.5-flash,200,0,right to property according to the constitution of india is a,constitutional right,1.0,1.0,False,"According to the Constitution of India, the right to property is no longer a fundamental right, but it is still a constitutional right [1, 3].  Originally, the Constitution provided for the right to property under Articles 19 and 31 [5, 8, 13]. Article 19 guaranteed all citizens the right to acquire, hold, and dispose of property [5, 8]. Article 31 stated that ""no person shall be deprived of his property"
gemini-2.5-flash,200,0,who is the president of usa right now,Donald Trump,1.0,1.0,False,"Donald Trump is the 45th and current president of the United States, inaugurated on January 20, 2017."
gemini-2.5-flash,200,0,what part of the brain is in the middle cranial fossa,pituitary gland|the temporal lobes|the pituitary gland|temporal lobes,1.0,1.0,False,The middle cranial fossa houses the temporal lobes of the brain and the pituitary gland.
gemini-2.5-flash,200,0,where do the greasers live in the outsiders,"Tulsa, Oklahoma",1.0,1.0,False,"In S.E. Hinton's novel *The Outsiders*, the greasers live in Tulsa, Oklahoma. The story is set in Tulsa in 1965, though this is not explicitly stated in the book [1, 5, 99]. The greasers are a youth subculture, predominantly working-class and lower-class teenagers and young adults [32]. Their rival gang, the Socs, are wealthier kids from the other side of town [38"
gemini-2.5-flash,200,0,who died in the plane crash greys anatomy,Dr. Lexie Grey|Lexie,1.0,1.0,False,"In the ""Flight"" episode of Grey's Anatomy, Dr. Lexie Grey (Chyler Leigh) dies as a result of an aviation accident [1]. The plane crash also involved other doctors from Seattle Grace Mercy West Hospital, including Meredith Grey, Derek Shepherd, Cristina Yang, Arizona Robbins, and Mark Sloan [4, 5, 8].  In the aftermath of the crash: *   Dr. Mark Sloan (Eric Dane) dies in the episode ""Going, Going,"
gemini-2.5-flash,200,0,where do they grow hops in the us,"Yakima (Washington)|Idaho|Washington|western Canyon County, Idaho|Willamette (Oregon)|Oregon",1.0,1.0,False,"Hops are grown in several regions across the United States. Key production centers include the Yakima Valley in Washington and the Willamette Valley in Oregon [1]. Western Canyon County, Idaho, including communities like Parma, Wilder, Greenleaf, and Notus, is also an important production area [1].  Historically, the Puget Sound region in Washington was home to ""The Largest Hop Ranch in the World"" in the late 19th century [3]. Vermont was a leading producer of hops by"
gemini-2.5-flash,200,0,what's the dog's name on tom and jerry,Spike,1.0,1.0,False,"The *Tom and Jerry* cartoons feature several dogs. Spike, an American bulldog, is a recurring character, sometimes referred to as Butch or Killer [1]. Spike's son is named Tyke [1].  Other dogs that appear in *Tom and Jerry* shorts include: *   A tiny bulldog that appears in ""The Cat's Me-Ouch!"" and ""Purr-Chance to Dream"" [68, 92, 39]. *"
gemini-2.5-flash,200,0,in which regions are most of africa petroleum and natural gas found,Nigeria,0.0,0.0,False,"Most of Africa's petroleum and natural gas resources are found in several key regions across the continent.  **North Africa** is a dominant region for oil and gas, with Libya holding approximately 50% of Africa's oil reserves [10]. Other countries in North Africa with significant oil and gas resources include Algeria and Egypt [10, 22, 36, 60, 94, 138]. Egypt, for instance, is the largest"
gemini-2.5-flash,200,0,in which sea pearl is found in india,the Indian Ocean,0.0,1.0,False,"Pearls are found in the following seas in India:  *   **Indian Ocean:** Seawater pearls have been retrieved by divers in the Indian Ocean, specifically in areas like the Persian Gulf, the Red Sea, and the Gulf of Mannar [1]. *   **Laccadive Sea (Lakshadweep Sea):** This sea borders India and is known for its pearl banks in the Gulf of Mannar, which have been exploited for at least two thousand years [9"
gemini-2.5-flash,200,0,how many countries are a part of opec,14,0.0,0.0,False,"As of June 2018, OPEC has 15 member countries [2]. These include six in the Middle East (Western Asia), seven in Africa, and two in South America [2].  The current members are: * Algeria [8] * Angola [8] * Ecuador [8] * Equatorial Guinea [8] * Gabon [8] * Iran [8] * Iraq [8] * Kuwait [8] * Libya"
gemini-2.5-flash,200,0,what type of car is a jeep considered,off-road vehicles|light utility vehicles|sport utility vehicles,1.0,1.0,False,"Jeep is a brand of American automobiles that is a division of FCA US LLC. Jeep's current product range consists solely of sport utility vehicles (SUVs) and off-road vehicles, though it has included pickup trucks in the past. Some Jeep vehicles, like the Grand Cherokee and Wagoneer, extend into the luxury SUV segment.  Historically, the term ""jeep"" was used as military slang for new recruits or vehicles, but the World War II ""jeep"" that went"
gemini-2.5-flash,200,0,what is the name of manchester united stadium,Old Trafford,1.0,1.0,False,Manchester United's stadium is called Old Trafford.
gemini-2.5-flash,200,0,who sings the theme song for the proud family,Destiny's Child|Solange Knowles,1.0,1.0,False,"The theme song for ""The Proud Family"" is performed by Solange Knowles & Destiny's Child. Solange Knowles also performed a rendition of the sing-along from ""The Proud Family"" at the 2017 Roots Picnic Festival."
gemini-2.5-flash,200,0,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis|Rob Davis|Cathy Dennis,1.0,1.0,False,"The lyrics for ""Can't Get You Out of My Head"" were jointly written by Cathy Dennis and Rob Davis."
